age,annual_income,ethnicity,highest_education,marital_status,employment_status,preferred_ice_cream,owns_car,owns_home,choice
43,59500,other,high-school,single,employed,chocolate,yes,no,party-a
69,54000,other,graduate-professional,married,unemployed,vanilla,yes,yes,party-a
62,29000,caucasian,college,married,employed,vanilla,yes,yes,party-a
77,54500,caucasian,college,married,employed,chocolate,yes,no,party-b
52,26500,asian,high-school,married,employed,vanilla,yes,yes,party-b
23,69000,asian,college,single,employed,vanilla,no,no,party-a
81,75000,asian,college,single,unemployed,vanilla,yes,yes,party-a
56,48500,african-american,not-high-school,single,employed,vanilla,no,yes,party-b
26,17000,african-american,high-school,single,employed,vanilla,no,no,party-a
53,28500,other,high-school,single,employed,chocolate,yes,yes,party-b
50,59000,hispanic,graduate-professional,single,unemployed,vanilla,no,no,party-b
28,22500,african-american,college,single,employed,chocolate,no,no,party-a
55,30500,asian,high-school,single,employed,vanilla,yes,no,party-a
49,41500,african-american,college,single,employed,chocolate,yes,no,party-b
74,42000,hispanic,high-school,married,unemployed,chocolate,no,no,party-a
23,70500,caucasian,college,single,unemployed,vanilla,yes,no,party-a
25,45500,asian,college,single,employed,chocolate,no,no,party-a
33,107500,asian,college,single,employed,vanilla,yes,no,party-b
41,52500,hispanic,high-school,married,employed,vanilla,no,no,party-b
68,15000,other,high-school,married,unemployed,chocolate,no,yes,party-a
51,220000,asian,college,married,employed,vanilla,yes,yes,party-b
81,124500,hispanic,graduate-professional,married,unemployed,chocolate,no,no,party-a
29,94000,other,high-school,single,employed,vanilla,no,no,party-a
60,98500,african-american,graduate-professional,married,employed,chocolate,no,no,party-a
38,140500,asian,graduate-professional,single,employed,chocolate,yes,yes,party-b
59,31500,caucasian,high-school,married,employed,vanilla,yes,yes,party-a
70,62500,hispanic,college,married,employed,chocolate,no,no,party-a
75,88000,hispanic,college,married,unemployed,chocolate,no,yes,party-a
37,159500,hispanic,high-school,married,employed,vanilla,no,no,party-b
60,86000,hispanic,college,single,employed,vanilla,yes,yes,party-b
59,62500,caucasian,graduate-professional,married,employed,vanilla,yes,no,party-b
24,168000,other,graduate-professional,married,employed,vanilla,yes,yes,party-a
81,29500,african-american,high-school,married,employed,chocolate,no,yes,party-a
52,47000,asian,not-high-school,married,employed,vanilla,no,no,party-b
35,36500,other,college,single,employed,vanilla,yes,no,party-b
64,42500,asian,not-high-school,married,employed,chocolate,no,no,party-a
41,87000,african-american,high-school,single,employed,vanilla,yes,no,party-a
81,53000,hispanic,high-school,married,employed,vanilla,no,no,party-b
65,32000,caucasian,not-high-school,married,employed,chocolate,yes,no,party-a
41,43000,other,not-high-school,single,unemployed,chocolate,yes,yes,party-a
67,103000,african-american,graduate-professional,married,unemployed,chocolate,yes,yes,party-a
30,59500,african-american,high-school,single,employed,chocolate,yes,yes,party-a
50,206000,african-american,graduate-professional,married,employed,vanilla,yes,yes,party-a
26,38500,asian,not-high-school,single,employed,chocolate,no,no,party-b
68,16000,african-american,college,single,unemployed,vanilla,yes,no,party-b
56,31000,asian,college,married,employed,chocolate,no,no,party-a
50,54000,african-american,high-school,single,employed,vanilla,yes,no,party-b
31,93500,caucasian,graduate-professional,married,employed,vanilla,no,no,party-b
22,40500,african-american,high-school,single,employed,vanilla,no,yes,party-b
62,57000,african-american,not-high-school,married,employed,vanilla,yes,yes,party-a
76,147500,other,graduate-professional,married,unemployed,vanilla,yes,yes,party-b
55,66500,african-american,college,single,employed,chocolate,yes,no,party-a
72,35000,asian,graduate-professional,married,employed,vanilla,yes,yes,party-b
74,57000,caucasian,graduate-professional,married,unemployed,vanilla,no,yes,party-b
31,148000,asian,college,single,employed,chocolate,no,no,party-b
76,52500,other,graduate-professional,married,employed,vanilla,yes,yes,party-a
40,60000,asian,college,single,employed,vanilla,yes,no,party-a
43,220000,african-american,graduate-professional,single,employed,chocolate,yes,yes,party-b
32,17000,hispanic,college,single,employed,vanilla,no,no,party-b
23,44500,caucasian,graduate-professional,married,unemployed,vanilla,no,no,party-a
41,90000,african-american,college,married,unemployed,vanilla,no,no,party-b
18,77500,other,high-school,single,employed,vanilla,yes,no,party-a
38,58500,asian,college,married,unemployed,chocolate,yes,yes,party-b
53,130000,hispanic,graduate-professional,married,employed,vanilla,yes,no,party-b
62,43000,asian,college,single,unemployed,vanilla,no,no,party-a
38,129000,african-american,high-school,married,unemployed,chocolate,no,no,party-b
65,43000,african-american,not-high-school,married,employed,chocolate,yes,yes,party-a
68,52500,african-american,college,married,employed,chocolate,yes,no,party-a
36,57500,asian,graduate-professional,single,employed,vanilla,no,no,party-b
50,48000,african-american,graduate-professional,married,employed,vanilla,no,yes,party-a
33,87500,asian,college,single,employed,chocolate,yes,yes,party-b
35,34500,caucasian,college,single,employed,chocolate,yes,no,party-b
20,103500,other,college,single,employed,chocolate,yes,no,party-a
41,65000,african-american,college,single,employed,vanilla,no,no,party-a
27,48500,hispanic,college,single,employed,chocolate,yes,no,party-a
47,130500,caucasian,college,married,unemployed,chocolate,yes,no,party-b
74,70500,asian,graduate-professional,married,unemployed,vanilla,yes,yes,party-a
36,91000,asian,high-school,married,employed,chocolate,yes,no,party-b
84,15000,african-american,high-school,married,unemployed,chocolate,yes,yes,party-b
76,39000,asian,high-school,married,unemployed,chocolate,yes,yes,party-b
65,62500,african-american,not-high-school,married,employed,vanilla,yes,no,party-a
30,41500,other,high-school,single,employed,vanilla,yes,yes,party-a
83,52000,hispanic,not-high-school,married,unemployed,chocolate,yes,yes,party-a
76,102000,other,college,single,unemployed,chocolate,no,no,party-a
84,51500,african-american,high-school,married,employed,chocolate,yes,yes,party-a
51,137500,asian,graduate-professional,single,employed,vanilla,no,no,party-b
39,81500,caucasian,college,single,employed,chocolate,no,no,party-a
24,36000,caucasian,not-high-school,single,employed,chocolate,no,no,party-a
63,15000,caucasian,high-school,single,employed,vanilla,no,yes,party-b
59,26000,african-american,college,married,employed,chocolate,yes,no,party-b
83,56000,other,graduate-professional,married,employed,chocolate,no,yes,party-a
64,65000,other,high-school,single,employed,chocolate,yes,no,party-a
74,36500,caucasian,high-school,married,employed,vanilla,no,no,party-a
71,15500,caucasian,high-school,married,unemployed,vanilla,yes,no,party-b
83,30000,asian,not-high-school,married,employed,chocolate,yes,yes,party-a
21,72500,asian,high-school,married,employed,chocolate,yes,no,party-b
67,121500,hispanic,high-school,married,unemployed,chocolate,no,yes,party-b
80,29000,caucasian,graduate-professional,single,employed,vanilla,yes,yes,party-a
27,133500,other,college,single,employed,chocolate,yes,no,party-a
39,27000,other,college,married,employed,vanilla,no,no,party-b
77,30500,asian,high-school,married,unemployed,vanilla,yes,no,party-b
52,77500,hispanic,high-school,single,employed,chocolate,yes,no,party-b
36,176000,african-american,graduate-professional,single,unemployed,vanilla,yes,yes,party-b
69,78000,other,college,single,unemployed,vanilla,no,yes,party-a
39,32500,caucasian,not-high-school,single,employed,chocolate,no,no,party-b
67,32500,other,college,married,employed,vanilla,yes,no,party-b
54,139000,caucasian,college,married,employed,chocolate,yes,no,party-b
38,62000,african-american,college,single,employed,chocolate,yes,no,party-a
19,69500,african-american,college,single,unemployed,vanilla,yes,no,party-a
21,32500,african-american,not-high-school,single,employed,vanilla,no,no,party-a
62,53500,asian,not-high-school,single,employed,vanilla,yes,no,party-a
81,51500,caucasian,graduate-professional,married,unemployed,vanilla,yes,no,party-a
65,93000,hispanic,college,married,employed,chocolate,yes,no,party-b
25,83500,other,college,single,employed,chocolate,no,no,party-a
43,51000,other,high-school,married,employed,vanilla,no,yes,party-a
20,36500,asian,college,single,employed,chocolate,no,no,party-a
62,50500,asian,high-school,married,employed,chocolate,no,no,party-a
65,93500,hispanic,college,married,unemployed,chocolate,yes,no,party-b
57,48000,caucasian,college,married,employed,vanilla,no,yes,party-a
68,89000,other,college,married,unemployed,chocolate,yes,yes,party-a
60,38000,caucasian,college,single,employed,vanilla,no,yes,party-b
34,135500,asian,graduate-professional,single,employed,chocolate,no,yes,party-b
83,91500,other,graduate-professional,married,unemployed,chocolate,no,yes,party-a
82,29500,asian,graduate-professional,married,unemployed,chocolate,yes,yes,party-b
58,37000,african-american,high-school,single,employed,chocolate,yes,no,party-b
72,24500,caucasian,college,married,unemployed,vanilla,yes,yes,party-a
58,43500,other,not-high-school,single,employed,chocolate,yes,yes,party-b
19,46000,asian,high-school,single,employed,chocolate,no,no,party-a
57,167500,other,graduate-professional,single,employed,chocolate,yes,no,party-a
20,31500,other,high-school,married,employed,vanilla,no,yes,party-a
29,52000,other,high-school,married,employed,chocolate,no,no,party-a
31,36500,asian,college,single,employed,vanilla,yes,no,party-b
35,19500,hispanic,high-school,single,unemployed,vanilla,no,no,party-b
73,60000,african-american,graduate-professional,married,unemployed,chocolate,yes,no,party-a
65,37500,other,high-school,married,employed,chocolate,no,no,party-b
48,59500,asian,high-school,married,unemployed,vanilla,no,yes,party-b
64,30500,other,college,married,employed,chocolate,no,no,party-b
30,88000,other,high-school,single,employed,vanilla,yes,yes,party-b
23,54000,asian,college,married,employed,chocolate,yes,no,party-a
56,77500,caucasian,graduate-professional,married,employed,chocolate,yes,yes,party-a
31,45500,other,graduate-professional,single,employed,chocolate,yes,no,party-a
59,27000,african-american,graduate-professional,married,employed,chocolate,no,no,party-b
31,43500,asian,graduate-professional,single,employed,vanilla,no,no,party-a
58,63000,hispanic,not-high-school,married,employed,chocolate,no,no,party-b
20,33000,african-american,high-school,single,employed,chocolate,yes,no,party-a
32,95000,african-american,college,single,employed,vanilla,no,yes,party-b
32,131500,other,college,single,employed,chocolate,yes,yes,party-b
61,51000,other,college,married,employed,chocolate,no,yes,party-a
51,23000,asian,high-school,married,employed,vanilla,yes,no,party-b
33,28000,hispanic,high-school,single,employed,chocolate,yes,yes,party-b
33,46500,asian,college,married,employed,chocolate,no,no,party-a
47,88000,african-american,college,single,employed,vanilla,yes,yes,party-a
43,29000,asian,high-school,married,employed,chocolate,no,no,party-b
79,48000,african-american,college,married,unemployed,vanilla,no,yes,party-a
82,41000,other,high-school,married,unemployed,vanilla,yes,yes,party-a
47,56000,caucasian,college,single,employed,vanilla,yes,no,party-a
83,41500,caucasian,college,married,unemployed,vanilla,no,no,party-b
68,110000,hispanic,graduate-professional,married,unemployed,vanilla,yes,yes,party-a
74,104000,caucasian,graduate-professional,married,unemployed,chocolate,no,yes,party-a
72,41500,hispanic,college,married,unemployed,vanilla,no,no,party-a
71,116500,other,graduate-professional,married,unemployed,chocolate,no,no,party-b
60,30000,african-american,not-high-school,single,employed,vanilla,no,no,party-a
81,40500,african-american,college,married,employed,vanilla,no,yes,party-a
69,131000,african-american,graduate-professional,married,employed,vanilla,no,yes,party-a
77,63500,caucasian,graduate-professional,married,unemployed,chocolate,yes,no,party-a
22,42500,hispanic,high-school,single,unemployed,chocolate,no,no,party-a
23,40500,hispanic,graduate-professional,single,employed,chocolate,yes,no,party-a
40,50000,asian,high-school,married,employed,chocolate,yes,no,party-b
32,86500,hispanic,graduate-professional,single,employed,vanilla,no,yes,party-a
78,22000,caucasian,not-high-school,married,employed,vanilla,yes,yes,party-b
75,62500,asian,high-school,single,unemployed,chocolate,no,no,party-a
53,55500,asian,college,married,employed,vanilla,no,no,party-a
20,106500,hispanic,graduate-professional,married,employed,vanilla,yes,yes,party-a
62,52000,asian,not-high-school,married,employed,chocolate,yes,yes,party-a
46,25500,african-american,college,married,employed,vanilla,no,yes,party-b
50,86500,other,college,married,unemployed,chocolate,no,no,party-b
66,31000,hispanic,high-school,married,employed,chocolate,yes,yes,party-a
55,53500,african-american,college,married,employed,vanilla,yes,no,party-a
73,73000,asian,college,single,employed,vanilla,no,yes,party-a
25,90500,hispanic,college,married,employed,chocolate,yes,no,party-b
66,77500,caucasian,graduate-professional,single,employed,vanilla,no,yes,party-b
59,68000,caucasian,graduate-professional,single,employed,vanilla,no,no,party-a
20,33500,african-american,not-high-school,single,employed,chocolate,no,yes,party-b
47,78500,asian,graduate-professional,single,employed,vanilla,no,yes,party-a
25,220000,other,graduate-professional,single,employed,vanilla,no,yes,party-b
18,73000,asian,college,single,employed,vanilla,no,no,party-b
65,123500,african-american,college,married,employed,chocolate,yes,yes,party-a
28,122000,hispanic,graduate-professional,single,employed,vanilla,yes,no,party-a
66,39500,african-american,graduate-professional,married,employed,vanilla,no,no,party-b
81,52000,caucasian,high-school,married,unemployed,vanilla,no,yes,party-a
63,55000,caucasian,high-school,married,unemployed,chocolate,no,yes,party-a
67,37000,african-american,high-school,married,unemployed,vanilla,yes,yes,party-b
61,65500,african-american,graduate-professional,single,employed,vanilla,yes,yes,party-a
49,37500,hispanic,high-school,single,employed,vanilla,no,no,party-b
23,30000,hispanic,high-school,married,employed,chocolate,yes,no,party-b
23,43000,other,high-school,single,employed,chocolate,yes,yes,party-a
42,35000,african-american,high-school,single,employed,chocolate,yes,no,party-b
62,64000,hispanic,college,married,employed,chocolate,yes,no,party-a
77,100000,asian,college,married,employed,vanilla,no,no,party-a
22,156000,other,high-school,single,employed,chocolate,yes,yes,party-b
45,167000,caucasian,graduate-professional,married,employed,vanilla,no,no,party-b
28,45500,caucasian,high-school,single,employed,chocolate,yes,no,party-b
69,30000,caucasian,high-school,married,unemployed,chocolate,yes,yes,party-b
61,58000,hispanic,college,single,employed,chocolate,yes,yes,party-a
33,25500,caucasian,high-school,single,employed,vanilla,yes,no,party-b
19,44000,caucasian,college,married,employed,chocolate,yes,no,party-a
41,58000,african-american,college,single,employed,vanilla,no,no,party-b
29,30500,other,high-school,single,employed,vanilla,yes,no,party-a
56,51500,asian,college,married,employed,chocolate,yes,yes,party-a
46,35000,caucasian,graduate-professional,married,employed,vanilla,yes,no,party-b
57,81000,caucasian,high-school,married,employed,vanilla,yes,no,party-b
44,56000,caucasian,college,married,employed,vanilla,no,no,party-b
84,47000,hispanic,high-school,single,employed,vanilla,yes,no,party-a
21,47000,hispanic,college,single,employed,chocolate,yes,no,party-a
45,54000,african-american,high-school,married,employed,vanilla,yes,no,party-b
31,53000,caucasian,college,single,employed,chocolate,yes,no,party-a
37,85000,other,high-school,single,employed,chocolate,yes,no,party-a
42,26000,african-american,high-school,married,employed,vanilla,no,yes,party-a
37,56500,african-american,college,married,employed,chocolate,yes,yes,party-b
66,49000,caucasian,college,single,employed,vanilla,yes,yes,party-a
82,50500,asian,college,married,unemployed,chocolate,yes,no,party-a
42,40000,asian,college,married,employed,vanilla,yes,no,party-b
46,15500,other,not-high-school,single,employed,vanilla,no,no,party-b
60,152500,african-american,college,single,employed,chocolate,yes,yes,party-b
44,17000,asian,college,married,employed,chocolate,yes,no,party-b
22,21500,hispanic,high-school,single,employed,vanilla,no,no,party-a
53,80000,hispanic,college,married,unemployed,chocolate,yes,no,party-b
30,73500,asian,college,single,employed,vanilla,yes,yes,party-b
70,73500,other,high-school,single,employed,chocolate,no,yes,party-a
69,26500,caucasian,high-school,married,unemployed,vanilla,yes,no,party-b
72,118000,other,college,married,employed,chocolate,yes,no,party-a
35,51000,hispanic,high-school,married,employed,chocolate,yes,no,party-b
78,33000,other,high-school,married,unemployed,vanilla,yes,yes,party-a
30,30500,asian,not-high-school,single,employed,vanilla,yes,no,party-b
72,44500,caucasian,high-school,married,employed,chocolate,yes,no,party-a
28,127000,caucasian,college,single,employed,vanilla,no,no,party-a
61,70500,asian,high-school,married,employed,chocolate,yes,no,party-a
41,46500,other,high-school,single,unemployed,chocolate,no,yes,party-b
42,203500,caucasian,graduate-professional,married,unemployed,chocolate,yes,no,party-b
77,41000,african-american,graduate-professional,married,unemployed,vanilla,no,yes,party-a
82,204000,african-american,high-school,married,employed,vanilla,no,yes,party-b
32,39500,african-american,not-high-school,single,employed,vanilla,yes,no,party-b
84,54500,african-american,not-high-school,married,employed,vanilla,yes,no,party-a
33,53000,african-american,high-school,single,employed,vanilla,no,yes,party-b
80,19000,caucasian,high-school,married,employed,vanilla,no,no,party-b
79,15000,african-american,high-school,married,unemployed,vanilla,yes,no,party-b
22,123500,hispanic,college,single,unemployed,chocolate,yes,yes,party-b
31,34000,caucasian,graduate-professional,single,employed,vanilla,no,no,party-b
42,91000,other,high-school,single,employed,chocolate,yes,no,party-a
72,40000,asian,college,single,employed,chocolate,no,yes,party-a
54,39500,asian,high-school,married,employed,chocolate,no,no,party-b
48,77000,other,college,single,employed,vanilla,yes,no,party-a
55,43000,other,college,single,employed,vanilla,yes,no,party-a
39,39000,african-american,high-school,married,employed,vanilla,yes,no,party-a
60,22000,hispanic,college,married,employed,vanilla,no,no,party-a
54,21500,hispanic,high-school,single,employed,vanilla,yes,no,party-b
22,70000,caucasian,not-high-school,single,unemployed,chocolate,yes,no,party-a
28,52000,african-american,high-school,single,employed,vanilla,yes,no,party-a
71,29000,asian,high-school,single,employed,chocolate,yes,yes,party-a
53,52500,asian,college,single,employed,chocolate,no,no,party-a
29,44500,other,graduate-professional,single,employed,vanilla,yes,yes,party-a
74,15000,other,high-school,married,unemployed,vanilla,yes,yes,party-a
66,80500,other,high-school,married,employed,vanilla,no,yes,party-a
47,20500,other,high-school,single,employed,vanilla,yes,yes,party-b
67,50500,asian,graduate-professional,married,unemployed,vanilla,no,no,party-b
45,44500,caucasian,college,single,employed,vanilla,yes,no,party-b
55,37000,asian,graduate-professional,married,employed,chocolate,yes,no,party-b
42,73000,hispanic,high-school,married,employed,vanilla,yes,yes,party-a
42,37500,african-american,graduate-professional,single,unemployed,vanilla,yes,yes,party-b
23,41000,african-american,college,single,employed,vanilla,no,no,party-a
51,62000,african-american,high-school,single,employed,vanilla,no,no,party-a
43,66000,other,high-school,single,employed,vanilla,no,no,party-b
35,23000,other,not-high-school,single,employed,vanilla,no,no,party-b
63,33500,other,high-school,single,employed,chocolate,yes,no,party-a
76,28000,caucasian,high-school,single,unemployed,vanilla,no,yes,party-b
21,53500,asian,graduate-professional,single,employed,chocolate,yes,yes,party-a
21,71000,hispanic,college,married,employed,vanilla,yes,no,party-a
72,49500,hispanic,not-high-school,married,employed,vanilla,yes,no,party-a
61,43500,other,high-school,single,employed,chocolate,no,yes,party-a
79,84500,african-american,graduate-professional,married,unemployed,vanilla,yes,yes,party-a
50,39000,other,high-school,married,unemployed,vanilla,yes,no,party-b
57,59500,caucasian,high-school,single,employed,chocolate,no,no,party-b
44,71000,asian,high-school,single,employed,chocolate,no,yes,party-b
37,30000,asian,high-school,married,employed,vanilla,yes,no,party-b
27,71000,asian,graduate-professional,single,employed,chocolate,yes,no,party-a
24,78500,caucasian,high-school,single,employed,vanilla,yes,no,party-a
81,136000,hispanic,graduate-professional,married,employed,vanilla,yes,yes,party-a
44,99000,asian,college,married,employed,chocolate,no,yes,party-a
37,109500,asian,graduate-professional,single,employed,chocolate,no,yes,party-b
23,20000,asian,college,single,employed,vanilla,yes,no,party-a
68,41000,caucasian,college,married,unemployed,vanilla,yes,no,party-b
54,37500,african-american,high-school,married,employed,chocolate,no,yes,party-b
22,18500,asian,high-school,single,unemployed,vanilla,yes,no,party-b
67,15000,caucasian,not-high-school,single,employed,chocolate,yes,yes,party-b
37,86500,african-american,high-school,single,employed,vanilla,yes,yes,party-b
20,25500,caucasian,college,single,employed,vanilla,no,no,party-a
80,37000,asian,college,married,unemployed,chocolate,yes,yes,party-a
81,65000,asian,graduate-professional,married,unemployed,chocolate,yes,yes,party-a
59,79500,hispanic,not-high-school,married,employed,chocolate,yes,no,party-a
42,28000,african-american,high-school,single,unemployed,chocolate,yes,no,party-b
63,69000,hispanic,college,married,employed,vanilla,yes,no,party-b
19,94500,other,high-school,single,employed,chocolate,yes,no,party-a
69,54500,asian,graduate-professional,married,employed,chocolate,yes,no,party-a
43,71500,asian,college,married,employed,chocolate,yes,no,party-b
67,19500,african-american,high-school,married,unemployed,vanilla,yes,yes,party-b
24,30000,asian,college,single,employed,vanilla,yes,no,party-a
29,26000,other,not-high-school,single,employed,chocolate,no,no,party-a
47,46500,african-american,college,married,employed,vanilla,yes,no,party-b
65,156000,hispanic,graduate-professional,married,employed,vanilla,no,yes,party-a
49,59500,african-american,college,married,employed,vanilla,no,yes,party-a
33,81000,caucasian,not-high-school,single,employed,vanilla,no,yes,party-b
58,16500,other,high-school,married,employed,chocolate,yes,yes,party-b
41,38000,african-american,college,married,employed,vanilla,yes,no,party-b
60,105500,african-american,not-high-school,married,employed,chocolate,yes,no,party-b
35,41000,other,high-school,single,employed,vanilla,no,yes,party-b
84,78500,hispanic,high-school,married,unemployed,vanilla,no,yes,party-a
36,45000,asian,not-high-school,married,unemployed,vanilla,no,no,party-b
27,34500,asian,high-school,single,unemployed,vanilla,yes,yes,party-b
24,69000,caucasian,graduate-professional,single,employed,chocolate,yes,yes,party-a
72,133000,hispanic,graduate-professional,married,employed,vanilla,no,yes,party-a
57,50500,caucasian,college,married,employed,chocolate,yes,no,party-a
55,59000,asian,high-school,single,employed,chocolate,yes,yes,party-a
58,87000,other,college,married,employed,chocolate,yes,yes,party-a
78,60500,african-american,high-school,single,unemployed,chocolate,yes,yes,party-b
76,23000,asian,high-school,married,employed,vanilla,yes,no,party-a
82,17500,other,graduate-professional,married,unemployed,vanilla,yes,yes,party-b
64,67500,asian,graduate-professional,married,unemployed,vanilla,no,no,party-b
82,81500,african-american,high-school,single,unemployed,chocolate,yes,no,party-a
50,52500,hispanic,college,single,employed,vanilla,yes,no,party-a
70,43000,other,high-school,married,unemployed,chocolate,no,no,party-b
65,36000,asian,high-school,married,employed,chocolate,no,yes,party-b
73,118500,asian,college,married,employed,vanilla,yes,yes,party-a
36,101000,other,not-high-school,married,employed,vanilla,no,no,party-b
62,46000,hispanic,graduate-professional,married,employed,chocolate,yes,no,party-b
48,43500,african-american,not-high-school,married,unemployed,vanilla,yes,no,party-b
68,52500,asian,graduate-professional,single,employed,chocolate,yes,no,party-a
53,33000,caucasian,college,married,unemployed,vanilla,yes,yes,party-b
29,184500,hispanic,college,single,employed,chocolate,no,no,party-a
36,117000,african-american,high-school,single,employed,vanilla,yes,no,party-a
37,15000,hispanic,college,single,employed,vanilla,yes,yes,party-b
23,149500,caucasian,graduate-professional,single,unemployed,chocolate,yes,no,party-a
84,136500,african-american,graduate-professional,married,unemployed,vanilla,yes,yes,party-a
44,65000,hispanic,college,single,employed,chocolate,yes,no,party-a
69,36000,asian,college,single,unemployed,vanilla,no,no,party-b
20,73500,other,graduate-professional,married,unemployed,vanilla,no,no,party-b
70,67500,other,high-school,single,employed,chocolate,yes,yes,party-a
43,58000,caucasian,high-school,single,unemployed,vanilla,no,no,party-a
31,26500,asian,high-school,married,employed,chocolate,yes,yes,party-a
22,113000,asian,graduate-professional,single,employed,chocolate,no,no,party-a
79,32000,african-american,not-high-school,married,unemployed,chocolate,yes,no,party-b
60,50500,african-american,college,single,employed,chocolate,yes,yes,party-a
71,23000,caucasian,high-school,married,employed,vanilla,yes,yes,party-a
20,36000,other,college,single,employed,vanilla,no,no,party-a
21,39500,caucasian,not-high-school,single,unemployed,vanilla,no,no,party-a
22,78500,asian,graduate-professional,single,employed,vanilla,yes,no,party-a
47,142500,other,high-school,single,employed,vanilla,yes,yes,party-b
69,26000,hispanic,not-high-school,married,unemployed,vanilla,no,yes,party-a
44,51000,other,high-school,single,employed,vanilla,no,no,party-b
56,76500,asian,graduate-professional,married,employed,chocolate,yes,no,party-a
25,35500,other,not-high-school,single,employed,vanilla,no,no,party-a
42,41000,hispanic,college,single,unemployed,chocolate,no,yes,party-b
83,75000,hispanic,high-school,married,employed,vanilla,no,no,party-a
68,175500,asian,college,married,employed,chocolate,no,yes,party-a
79,80500,african-american,college,married,employed,vanilla,no,yes,party-a
80,35000,caucasian,high-school,married,employed,chocolate,yes,yes,party-a
39,89000,other,high-school,single,employed,chocolate,yes,yes,party-a
66,15000,african-american,college,married,unemployed,vanilla,yes,no,party-b
48,74000,caucasian,high-school,single,employed,chocolate,no,yes,party-b
24,43000,caucasian,graduate-professional,married,employed,chocolate,yes,no,party-a
36,66000,other,graduate-professional,married,unemployed,vanilla,no,no,party-b
52,67000,caucasian,high-school,single,unemployed,chocolate,yes,yes,party-b
76,103000,other,high-school,married,employed,vanilla,yes,yes,party-a
76,93500,asian,graduate-professional,single,unemployed,chocolate,yes,no,party-a
55,123000,caucasian,graduate-professional,married,employed,chocolate,yes,yes,party-a
70,86000,african-american,high-school,married,unemployed,chocolate,yes,yes,party-b
65,128000,caucasian,graduate-professional,married,employed,chocolate,yes,no,party-a
64,74000,african-american,high-school,single,employed,chocolate,yes,yes,party-b
76,100000,hispanic,college,single,unemployed,vanilla,yes,yes,party-a
47,32500,other,high-school,single,employed,chocolate,yes,no,party-b
66,23000,hispanic,not-high-school,married,employed,vanilla,yes,no,party-b
46,26000,african-american,graduate-professional,single,employed,vanilla,no,yes,party-b
27,47000,hispanic,graduate-professional,married,employed,vanilla,yes,no,party-a
75,41000,caucasian,high-school,married,unemployed,vanilla,yes,no,party-a
83,107000,asian,college,married,unemployed,vanilla,yes,yes,party-a
84,20000,hispanic,graduate-professional,married,unemployed,chocolate,yes,yes,party-a
59,48000,other,graduate-professional,single,employed,chocolate,yes,no,party-a
57,110500,other,college,married,employed,vanilla,no,yes,party-b
26,62000,hispanic,graduate-professional,single,unemployed,chocolate,no,no,party-a
35,69500,other,college,married,employed,chocolate,no,no,party-b
58,45500,african-american,not-high-school,married,employed,vanilla,yes,yes,party-a
48,34000,other,high-school,single,employed,vanilla,no,no,party-b
72,54000,asian,graduate-professional,married,employed,vanilla,no,yes,party-a
53,61500,asian,high-school,single,employed,vanilla,yes,yes,party-b
20,74000,african-american,graduate-professional,single,unemployed,chocolate,no,no,party-b
49,55000,caucasian,high-school,single,employed,chocolate,no,no,party-a
66,54500,hispanic,college,married,employed,vanilla,no,yes,party-a
18,23500,african-american,high-school,single,employed,vanilla,no,no,party-a
75,73500,hispanic,graduate-professional,married,unemployed,vanilla,yes,yes,party-a
46,22000,caucasian,college,single,employed,chocolate,yes,yes,party-b
47,19000,hispanic,high-school,single,employed,vanilla,no,no,party-b
26,46500,caucasian,high-school,single,employed,chocolate,no,yes,party-a
58,62000,other,graduate-professional,married,employed,chocolate,yes,yes,party-a
64,36500,other,high-school,married,employed,chocolate,yes,yes,party-b
31,57500,other,high-school,single,employed,vanilla,no,no,party-b
49,64500,hispanic,college,married,employed,vanilla,yes,no,party-b
78,114500,other,college,married,unemployed,chocolate,yes,yes,party-a
19,54500,caucasian,high-school,single,employed,vanilla,yes,yes,party-a
77,32000,other,college,single,employed,vanilla,no,no,party-a
62,130500,other,high-school,married,employed,chocolate,yes,yes,party-a
69,46000,hispanic,college,married,unemployed,chocolate,yes,no,party-a
48,96500,hispanic,college,single,employed,chocolate,no,no,party-a
53,42500,hispanic,graduate-professional,married,employed,chocolate,no,no,party-b
61,39500,asian,not-high-school,married,employed,chocolate,yes,no,party-b
62,25500,african-american,high-school,married,employed,vanilla,yes,yes,party-a
81,76000,african-american,college,married,employed,vanilla,yes,yes,party-a
42,15000,other,high-school,single,employed,vanilla,no,no,party-b
53,78000,other,graduate-professional,married,employed,chocolate,yes,no,party-a
73,53500,hispanic,not-high-school,married,unemployed,vanilla,yes,yes,party-a
77,42000,asian,college,married,unemployed,chocolate,yes,no,party-a
36,95500,other,college,single,employed,vanilla,yes,no,party-a
47,54500,asian,college,married,employed,chocolate,yes,no,party-b
23,59000,other,high-school,single,employed,vanilla,yes,no,party-a
26,35000,hispanic,high-school,married,employed,vanilla,yes,yes,party-a
36,58500,other,college,single,employed,chocolate,no,yes,party-a
78,70500,african-american,college,single,unemployed,chocolate,yes,no,party-a
38,67000,caucasian,graduate-professional,married,employed,vanilla,yes,yes,party-a
80,80500,other,high-school,single,unemployed,chocolate,yes,yes,party-a
59,23000,asian,not-high-school,married,employed,vanilla,yes,no,party-b
55,90500,hispanic,graduate-professional,married,employed,vanilla,no,no,party-a
